,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Retrieval,STS
76,77,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,0.011,0.023,1024.0,512.0,69.14,68.6,69.9,50.33,91.01,49.08,82.67
77,78,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,68.91,68.58,69.55,51.03,90.64,50.27,81.41
78,79,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768.0,512.0,69.92,69.99,76.14,51.55,90.46,50.65,81.15
79,80,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,68.92,69.16,73.9,51.25,91.46,49.42,79.77
80,81,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),57%,,,3584.0,32768.0,,,90.96,,96.3,64.69,
81,82,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,66.67,68.2,71.48,50.6,91.01,54.5,73.4
82,83,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,68.36,68.23,69.82,50.75,90.64,49.68,80.26
83,84,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024.0,512.0,67.88,66.97,69.24,49.73,90.92,42.54,82.45
84,85,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,68.46,68.35,71.3,49.35,90.86,49.26,80.95
85,86,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),61%,0.358,0.494,896.0,512.0,68.74,68.93,72.7,48.77,90.83,51.78,80.58
86,87,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),57%,6.979,7.11,8000.0,32768.0,,,89.07,,92.19,60.58,
87,88,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),61%,0.358,0.494,896.0,512.0,69.57,70.2,80.27,47.79,90.25,52.18,80.51
88,89,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),90%,,0.137,768.0,8192.0,68.57,68.44,72.12,50.19,90.12,49.16,80.62
89,90,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,66.83,66.99,68.41,51.48,91.19,46.48,77.38
90,91,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,0.304,0.56,1024.0,514.0,65.49,65.48,73.85,51.75,90.3,35.53,75.97
91,92,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),57%,6.979,7.11,4000.0,32768.0,,,88.51,,92.24,58.19,
92,93,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,,,74.13,51.73,,53.54,81.59
93,94,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),42%,0.032,0.08,320.0,40960.0,69.46,69.95,85.64,55.24,89.86,41.24,77.77
94,95,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,0.304,0.435,1024.0,514.0,64.79,65.0,73.79,51.65,90.32,34.74,74.52
95,96,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),95%,0.086,0.278,768.0,514.0,67.36,66.27,70.18,48.17,90.62,39.41,82.96
96,97,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),57%,6.979,7.11,4096.0,32768.0,,,89.75,,92.57,62.47,
97,98,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),100%,0.086,0.278,768.0,514.0,64.55,64.75,72.4,50.66,90.87,35.06,74.78
98,99,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,,69.39,45.88,91.2,51.66,
99,100,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,0.022,0.033,384.0,512.0,67.57,67.42,69.16,50.4,90.33,47.78,79.45
100,101,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,0.022,0.033,512.0,512.0,65.67,67.06,69.3,50.63,90.75,52.13,72.5
101,102,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,0.086,0.124,768.0,514.0,64.14,64.56,72.58,49.62,90.89,35.65,74.04
102,103,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),100%,0.113,0.305,768.0,8192.0,,,,48.89,90.44,44.74,81.95
103,104,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),90%,0.022,0.033,384.0,512.0,65.4,67.02,69.22,50.59,90.58,53.19,71.5
104,105,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),90%,,0.137,768.0,8192.0,68.02,68.58,72.63,49.48,90.61,51.89,78.27
105,106,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,67.67,68.04,73.19,47.31,90.43,50.01,79.26
106,107,[BidirLM-270M-Embedding](https://huggingface.co/BidirLM/BidirLM-270M-Embedding),100%,0.1,0.268,640.0,512.0,67.53,67.92,71.61,50.55,91.14,48.45,77.86
107,108,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),76%,6.98,7.111,4096.0,32768.0,,,76.98,,91.68,56.72,
108,109,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,67.8,67.86,69.33,49.2,91.22,49.8,79.76
109,110,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,2.36,3.003,,,,,68.62,45.54,90.83,50.01,
110,111,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,,,73.69,50.15,,51.4,80.86
111,112,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),90%,,0.137,768.0,8192.0,67.0,67.14,72.61,47.66,90.67,45.73,79.03
112,113,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),100%,0.312,0.359,1024.0,8194.0,65.33,65.19,71.2,45.25,91.48,39.04,78.99
113,114,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),85%,0.011,0.023,384.0,512.0,66.29,66.12,71.66,49.5,89.86,41.39,78.21
114,115,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,0.089,0.112,,4096.0,66.61,66.65,72.51,46.52,90.61,44.26,79.33
115,116,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),100%,6.516,6.647,4096.0,32768.0,,,77.1,,91.7,52.28,
116,117,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),57%,,0.306,768.0,512.0,,,81.07,,91.82,59.45,
117,118,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),95%,0.022,0.118,384.0,512.0,66.11,65.23,69.14,46.0,90.51,38.86,81.66
118,119,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),57%,8.322,9.24,3584.0,8192.0,,,86.29,,89.12,56.19,
119,120,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),100%,7.022,7.547,4096.0,8192.0,,,76.78,,90.83,55.36,
120,121,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,0.304,0.335,768.0,512.0,,,73.38,,90.81,51.68,
121,122,[bge-m3](https://huggingface.co/BAAI/bge-m3),100%,0.312,0.568,1024.0,8194.0,65.71,65.65,71.69,43.05,91.61,41.73,80.14
122,123,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,66.71,66.6,70.98,46.99,89.21,46.41,79.43
123,124,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),95%,0.11,0.149,768.0,8192.0,66.72,66.89,66.03,50.8,88.98,51.58,77.06
124,125,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,64.07,65.06,69.64,48.07,90.46,44.29,72.81
125,126,[e5-small](https://huggingface.co/intfloat/e5-small),100%,0.021,0.033,384.0,512.0,66.25,66.51,70.9,46.08,90.56,46.63,78.39
126,127,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,0.086,0.278,768.0,514.0,65.81,64.73,68.99,48.94,87.66,37.91,80.15
127,128,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,64.24,65.21,69.81,47.98,90.64,44.52,73.11
128,129,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,67.87,50.86,89.69,,81.47
129,130,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),100%,0.312,0.568,1024.0,8192.0,66.51,67.4,67.71,47.75,90.99,54.34,76.23
130,131,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),90%,,0.137,768.0,8192.0,64.21,65.43,70.0,51.18,90.6,44.36,71.02
131,132,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,66.73,66.41,66.86,49.73,86.05,51.04,78.35
132,132,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),100%,0.312,0.568,1024.0,8194.0,65.1,64.58,70.83,43.39,91.23,36.83,80.6
133,134,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),100%,0.304,0.56,1024.0,514.0,,,,45.46,89.48,47.65,80.65
134,135,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),100%,0.022,0.118,384.0,512.0,63.23,63.46,70.46,49.08,89.68,34.59,73.49
135,136,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,65.0,63.78,70.37,45.72,88.21,33.58,81.01
136,137,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,66.07,66.25,68.74,49.41,82.73,54.79,75.56
137,138,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,0.304,0.335,1024.0,512.0,,,74.96,,91.41,49.43,
138,139,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,0.011,0.023,384.0,512.0,65.6,65.87,69.53,48.04,90.1,44.91,76.74
139,140,[granite-embedding-311m-multilingual-r2](https://huggingface.co/ibm-granite/granite-embedding-311m-multilingual-r2),100%,0.11,0.312,768.0,8192.0,65.57,65.56,62.64,49.66,89.57,49.14,76.78
140,141,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),100%,1.229,1.295,4096.0,32768.0,,,74.31,,91.24,50.01,
141,142,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),61%,0.358,0.494,896.0,512.0,,,87.66,,91.02,52.5,
142,143,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,68.73,50.45,90.38,,
143,144,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,64.21,62.98,70.88,43.7,87.74,31.78,80.79
144,145,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),100%,0.086,0.278,768.0,514.0,65.49,65.3,69.03,45.95,89.25,43.62,78.62
145,146,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),100%,0.113,0.305,768.0,8192.0,65.01,66.21,66.18,47.38,90.98,52.85,73.67
146,147,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,,,,48.99,87.63,40.54,71.36
147,148,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,62.66,64.05,68.89,45.1,90.52,44.63,71.09
